rank,title,title_short,amount,amount_text
1,Star Wars: The Last Jedi,Star Wars,71565498,"$71,565,498"
2,Jumanji: Welcome to the Jungle,Jumanji,36169328,"$36,169,328"
3,Pitch Perfect 3,Pitch Perfect 3,19928525,"$19,928,525"
4,The Greatest Showman,Greatest Showman,8805843,"$8,805,843"
5,Ferdinand,Ferdinand,7316746,"$7,316,746"
